,CropType,CropDays,SoilMoisture,temperature,Humidity,Irrigation
0,8,1,86,17,4,0
1,8,130,28,17,21,0
2,8,152,61,7,17,0
3,8,86,113,26,11,0
4,8,69,159,9,23,0
5,8,119,173,7,18,0
6,8,108,113,20,15,0
7,8,141,76,7,17,0
8,8,10,1,3,31,0
9,8,20,118,11,36,0
10,8,28,88,20,11,0
11,8,34,123,19,38,0
12,8,65,143,16,43,0
13,8,47,41,15,53,0
14,8,54,89,9,54,0
15,8,70,68,18,60,0
16,8,76,90,8,23,1
17,8,76,31,12,34,0
18,8,79,14,8,19,0
19,8,80,133,26,19,1
20,8,81,159,27,19,1
21,8,82,28,8,23,0
22,8,83,76,21,29,0
23,8,84,159,24,21,1
24,8,85,36,21,21,0
25,8,87,86,21,21,0
26,8,91,173,21,21,1
27,8,94,159,17,11,1
28,8,96,76,9,10,0
29,8,99,128,9,4,0
30,8,100,177,8,4,1
31,8,103,159,7,4,1
32,8,104,61,6,3,0
33,8,106,162,7,2,1
34,8,109,86,5,1,0
35,8,114,159,5,1,0
36,8,115,173,9,5,1
37,8,118,178,8,4,1
38,8,122,49,7,4,0
39,8,122,180,7,4,1
40,8,125,149,9,4,0
41,8,126,159,11,6,1
42,8,131,180,10,8,1
43,8,135,133,9,4,0
44,8,138,96,7,3,0
45,8,142,175,8,5,1
46,8,144,28,7,6,0
47,8,144,168,9,7,1
48,8,147,61,11,8,0
49,8,147,158,8,7,1
50,8,149,61,7,3,0
51,8,150,177,8,4,1
52,8,153,61,12,7,0
53,8,154,166,14,8,1
54,8,156,86,11,7,0
55,8,158,133,16,4,1
56,8,161,61,14,1,0
57,8,162,161,15,8,1
58,8,4,41,17,18,0
59,8,7,62,19,49,0
60,8,8,134,22,24,1
61,8,9,70,9,21,0
62,8,11,180,19,23,1
63,8,13,121,15,28,0
64,8,15,163,16,27,1
65,8,17,175,11,21,1
66,8,19,152,22,31,0
67,8,22,180,21,15,1
68,8,25,61,19,30,0
69,8,30,133,8,10,0
70,8,30,173,20,20,0
71,8,35,86,9,16,0
72,8,38,150,10,23,0
73,8,45,177,21,22,0
74,8,48,179,9,11,0
75,8,51,169,19,10,0
76,8,52,174,20,21,0
77,8,55,154,19,31,0
78,2,0,130,9,39,1
79,2,86,25,10,34,0
80,2,108,72,7,38,0
81,2,130,145,6,37,1
82,2,152,26,7,35,0
83,2,10,70,10,33,0
84,2,28,148,12,28,1
85,2,41,19,10,28,0
86,2,54,84,7,26,0
87,2,65,144,8,24,1
88,2,76,37,12,23,0
89,2,79,96,10,24,0
90,2,81,165,12,13,1
91,2,83,17,9,19,0
92,2,85,74,8,19,0
93,2,88,148,12,17,1
94,2,90,25,10,19,0
95,2,92,76,9,16,0
96,2,94,155,14,9,1
97,2,96,31,12,9,0
98,2,99,89,11,8,0
99,2,101,144,10,7,1
100,2,103,29,9,8,0
101,2,105,96,14,6,0
102,2,107,155,9,7,1
103,2,110,43,16,6,0
104,2,112,104,14,7,0
105,2,114,157,12,8,1
106,2,116,46,7,5,0
107,2,117,104,14,7,0
108,2,120,172,10,8,1
109,2,122,42,14,7,0
110,2,124,97,10,9,0
111,2,126,170,8,10,1
112,2,128,41,7,11,0
113,2,131,96,10,7,0
114,2,133,156,12,7,1
115,2,137,31,14,5,0
116,2,139,98,9,7,0
117,2,142,172,11,6,1
118,2,144,29,14,5,0
119,2,146,108,11,5,0
120,2,148,172,16,4,1
121,2,150,30,12,4,0
122,2,153,109,16,6,0
123,2,155,172,12,5,1
124,2,157,41,7,7,0
125,2,159,100,14,10,0
126,2,161,155,11,8,1
127,2,2,6,7,4,0
128,1,0,86,10,52,1
129,1,97,36,4,42,0
130,1,108,94,5,47,1
131,1,141,96,5,52,1
132,1,1,38,6,42,0
133,1,28,76,6,46,1
134,1,41,37,6,47,0
135,1,65,76,8,42,1
136,1,76,9,4,52,0
137,1,81,111,6,42,1
138,1,83,36,4,52,0
139,1,87,65,4,56,0
140,1,91,102,7,47,1
141,1,93,56,6,47,0
142,1,98,117,7,42,1
143,1,101,106,7,42,1
144,1,103,66,5,52,0
145,1,105,36,4,58,0
146,1,109,65,4,60,0
147,1,111,125,5,56,1
148,1,114,36,1,60,0
149,1,116,76,2,60,0
150,1,120,153,5,56,1
151,1,122,34,2,61,0
152,1,125,120,4,62,1
153,1,127,10,2,58,0
154,1,131,118,6,50,1
155,1,133,31,4,52,0
156,1,136,133,7,47,1
157,1,138,13,4,52,0
158,1,142,131,7,50,1
159,1,144,36,4,48,0
160,1,147,75,2,62,0
161,1,149,143,7,52,1
162,1,151,23,4,58,0
163,1,154,55,5,57,0
164,1,157,119,7,55,1
165,1,159,54,4,52,0
166,1,162,124,6,49,1
167,1,3,33,5,58,0
168,1,5,65,1,60,0
169,1,8,127,7,52,1
170,1,9,28,5,51,0
171,1,12,89,7,52,1
172,1,14,36,4,47,0
173,1,16,70,4,52,0
174,1,21,124,6,50,0
175,3,0,86,17,9,1
176,3,97,96,18,10,1
177,3,130,68,11,14,1
178,3,1,83,11,10,1
179,3,28,93,17,9,1
180,3,47,121,19,14,1
181,3,65,105,17,13,1
182,3,78,107,16,11,1
183,3,81,68,16,11,1
184,3,84,89,17,13,1
185,3,87,113,11,8,1
186,3,88,14,12,6,0
187,3,90,121,14,12,1
188,3,92,96,14,10,1
189,3,94,36,10,23,0
190,3,96,93,21,8,1
191,3,99,69,17,8,1
192,3,101,4,6,24,0
193,3,102,36,6,24,0
194,3,104,70,21,20,1
195,3,106,76,22,9,1
196,3,109,36,16,24,0
197,3,111,76,21,8,1
198,3,113,39,11,24,0
199,3,115,97,18,23,1
200,3,117,36,11,31,0
201,3,120,36,10,32,0
