,CropType,CropDays,SoilMoisture,temperature,Humidity,Irrigation
362,7,85,24,4,59,0
73,8,45,177,21,22,0
375,7,113,38,3,52,0
395,7,157,23,7,47,0
378,7,120,5,5,42,0
68,8,25,61,19,30,0
9,8,20,118,11,36,0
407,7,18,139,12,35,1
420,7,37,31,17,27,0
30,8,100,177,8,4,1
316,5,150,147,4,47,1
409,7,23,80,12,33,0
280,5,59,121,7,42,1
356,7,54,41,5,52,0
76,8,52,174,20,21,0
334,6,10,119,17,12,1
402,7,9,26,7,42,0
336,6,47,144,17,7,1
441,7,66,96,12,13,0
2,8,152,61,7,17,0
333,6,141,65,15,9,0
410,7,24,137,15,31,1
70,8,30,173,20,20,0
63,8,13,121,15,28,0
434,7,57,99,19,10,0
33,8,106,162,7,2,1
77,8,55,154,19,31,0
0,8,1,86,17,4,0
11,8,34,123,19,38,0
416,7,32,147,16,32,1
22,8,83,76,21,29,0
72,8,38,150,10,23,0
411,7,26,33,17,32,0
55,8,158,133,16,4,1
18,8,79,14,8,19,0
323,5,4,49,4,46,0
39,8,122,180,7,4,1
46,8,144,28,7,6,0
392,7,150,8,7,50,0
352,7,152,10,2,54,0
341,6,85,75,15,10,0
277,5,28,122,1,50,1
290,5,95,19,5,49,0
317,5,153,20,3,46,0
304,5,126,13,4,47,0
69,8,30,133,8,10,0
321,5,161,149,2,46,1
415,7,31,106,15,31,0
312,5,142,19,3,48,0
278,5,41,25,4,46,0
382,7,128,8,4,62,0
324,5,6,96,5,44,0
432,7,55,167,18,8,1
347,6,103,127,17,8,1
75,8,51,169,19,10,0
439,7,63,22,17,8,0
15,8,70,68,18,60,0
386,7,137,2,2,60,0
19,8,80,133,26,19,1
322,5,2,10,3,44,0
332,6,119,113,17,8,1
56,8,161,61,14,1,0
301,5,120,59,2,50,0
331,6,86,68,16,12,0
424,7,43,97,17,14,0
335,6,28,67,15,18,0
25,8,87,86,21,21,0
281,5,70,25,5,47,0
42,8,131,180,10,8,1
320,5,159,89,4,47,0
418,7,35,92,18,28,0
329,5,15,155,5,44,1
31,8,103,159,7,4,1
271,5,0,113,6,42,1
57,8,162,161,15,8,1
24,8,85,36,21,21,0
17,8,76,31,12,34,0
66,8,19,152,22,31,0
23,8,84,159,24,21,1
430,7,50,18,21,10,0
5,8,119,173,7,18,0
45,8,142,175,8,5,1
16,8,76,90,8,23,1
357,7,65,76,1,60,0
3,8,86,113,26,11,0
406,7,16,77,11,35,0
60,8,8,134,22,24,1
318,5,155,53,3,46,0
429,7,49,164,19,17,1
29,8,99,128,9,4,0
438,7,62,176,22,4,1
444,7,71,52,6,15,0
26,8,91,173,21,21,1
7,8,141,76,7,17,0
37,8,118,178,8,4,1
374,7,111,8,4,52,0
370,7,103,3,4,52,0
380,7,124,65,2,52,0
405,7,14,27,11,36,0
275,5,152,2,3,50,0
446,7,73,171,6,12,1
397,7,161,68,7,47,0
67,8,22,180,21,15,1
376,7,115,69,4,51,0
414,7,30,32,12,32,0
272,5,86,22,6,50,0
368,7,99,68,1,60,0
74,8,48,179,9,11,0
358,7,76,121,5,52,1
310,5,137,100,3,50,0
299,5,115,156,3,48,1
354,7,28,117,2,56,1
400,7,6,68,8,42,0
353,7,10,57,4,50,0
383,7,131,47,3,60,0
274,5,130,121,4,50,1
36,8,115,173,9,5,1
365,7,92,121,3,58,1
440,7,64,47,14,9,0
286,5,87,41,4,47,0
59,8,7,62,19,49,0
437,7,61,96,18,6,0
6,8,108,113,20,15,0
361,7,83,121,6,47,1
346,6,100,118,17,8,1
338,6,78,159,11,8,1
394,7,155,96,8,47,1
10,8,28,88,20,11,0
381,7,126,100,5,47,1
38,8,122,49,7,4,0
314,5,146,84,1,49,0
296,5,109,47,3,47,0
297,5,111,80,2,43,0
417,7,33,37,16,31,0
393,7,153,65,8,50,0
448,7,75,79,7,17,0
287,5,89,68,3,48,0
369,7,101,124,6,60,1
408,7,21,25,11,34,0
305,5,128,50,3,49,0
298,5,113,100,1,50,0
351,7,130,124,4,52,1
422,7,40,160,18,23,1
396,7,159,41,5,49,0
284,5,82,116,4,50,1
302,5,122,89,1,47,0
425,7,44,155,19,17,1
421,7,39,100,16,24,0
289,5,93,135,4,47,1
377,7,117,117,6,47,1
291,5,98,47,4,47,0
355,7,41,13,4,52,0
294,5,104,145,3,47,1
367,7,96,48,2,52,0
340,6,83,110,17,24,1
307,5,133,129,6,43,1
433,7,56,2,17,18,0
360,7,81,68,4,52,0
311,5,139,147,5,46,1
349,7,86,36,7,52,0
